Date,Adj Close,Close,High,Low,Open,Volume
,^SP500-25,^SP500-25,^SP500-25,^SP500-25,^SP500-25,^SP500-25
2005-09-01,261.54998779296875,261.54998779296875,264.5400085449219,261.05999755859375,264.1499938964844,3163200
2005-09-02,260.57000732421875,260.57000732421875,262.70001220703125,260.010009765625,261.54998779296875,2005600
2005-09-06,264.989990234375,264.989990234375,265.1099853515625,260.57000732421875,260.57000732421875,2330800
2005-09-07,267.25,267.25,267.3399963378906,264.69000244140625,264.989990234375,2581600
2005-09-08,264.79998779296875,264.79998779296875,267.25,264.3800048828125,267.25,2633000
2005-09-09,266.6099853515625,266.6099853515625,267.0400085449219,264.79998779296875,264.79998779296875,2418600
2005-09-12,267.45001220703125,267.45001220703125,267.7300109863281,265.82000732421875,266.6099853515625,2517800
2005-09-13,263.79998779296875,263.79998779296875,267.45001220703125,263.79998779296875,267.45001220703125,2693200
2005-09-14,261.1499938964844,261.1499938964844,264.1600036621094,261.0400085449219,263.79998779296875,2553600
2005-09-15,261.6199951171875,261.6199951171875,262.32000732421875,260.80999755859375,261.1499938964844,2895400
2005-09-16,261.8699951171875,261.8699951171875,262.6199951171875,261.239990234375,261.6199951171875,4878800
2005-09-19,258.4800109863281,258.4800109863281,261.8699951171875,257.80999755859375,261.8699951171875,2944200
2005-09-20,253.97000122070312,253.97000122070312,259.0799865722656,253.94000244140625,258.4800109863281,3458400
2005-09-21,250.13999938964844,250.13999938964844,253.97000122070312,250.11000061035156,253.97000122070312,3678400
2005-09-22,254.1699981689453,254.1699981689453,254.66000366210938,249.7899932861328,250.13999938964844,3382000
2005-09-23,254.77999877929688,254.77999877929688,256.1600036621094,253.27000427246094,254.1699981689453,2801800
2005-09-26,254.8800048828125,254.8800048828125,257.1600036621094,253.72999572753906,254.77999877929688,2547800
2005-09-27,254.24000549316406,254.24000549316406,255.44000244140625,253.32000732421875,254.8800048828125,2369000
2005-09-28,252.61000061035156,252.61000061035156,255.30999755859375,252.1199951171875,254.24000549316406,2449800
2005-09-29,254.77000427246094,254.77000427246094,255.02000427246094,250.9499969482422,252.61000061035156,2730800
2005-09-30,256.4100036621094,256.4100036621094,256.8800048828125,254.64999389648438,254.77000427246094,2573600
2005-10-03,255.8800048828125,255.8800048828125,257.7099914550781,255.8000030517578,256.4100036621094,2310600
2005-10-04,253.97000122070312,253.97000122070312,257.07000732421875,253.91000366210938,255.8800048828125,2822400
2005-10-05,249.9600067138672,249.9600067138672,253.97000122070312,249.91000366210938,253.97000122070312,3230400
2005-10-06,250.02000427246094,250.02000427246094,252.92999267578125,248.27999877929688,249.9600067138672,3498400
2005-10-07,250.33999633789062,250.33999633789062,251.85000610351562,249.72000122070312,250.02000427246094,3151400
2005-10-10,248.27999877929688,248.27999877929688,250.39999389648438,248.10000610351562,250.33999633789062,5784600
2005-10-11,247.36000061035156,247.36000061035156,250.00999450683594,247.0800018310547,248.27999877929688,2976800
2005-10-12,244.5500030517578,244.5500030517578,247.86000061035156,243.86000061035156,247.36000061035156,3476200
